MacRom UTF-8 NFC                                             UTF-8 NFD
[8D]   [C3A7] LATIN SMALL LETTER C WITH CEDILLA              [63] LATIN SMALL LETTER C + [CCA7] COMBINING CEDILLA
[8E]   [C3A9] LATIN SMALL LETTER E WITH ACUTE                [65] LATIN SMALL LETTER E + [CC81] COMBINING ACUTE ACCENT
[8F]   [C3A8] LATIN SMALL LETTER E WITH GRAVE                [65] LATIN SMALL LETTER E + [CC80] COMBINING GRAVE ACCENT
[90]   [C3AA] LATIN SMALL LETTER E WITH CIRCUMFLEX           [65] LATIN SMALL LETTER E + [CC82] COMBINING CIRCUMFLEX ACCENT
[91]   [C3AB] LATIN SMALL LETTER E WITH DIAERESIS            [65] LATIN SMALL LETTER E + [CC88] COMBINING DIAERESIS
[92]   [C3AD] LATIN SMALL LETTER I WITH ACUTE                [69] LATIN SMALL LETTER I + [CC81] COMBINING ACUTE ACCENT
[93]   [C3AC] LATIN SMALL LETTER I WITH GRAVE                [69] LATIN SMALL LETTER I + [CC80] COMBINING GRAVE ACCENT
[94]   [C3AE] LATIN SMALL LETTER I WITH CIRCUMFLEX           [69] LATIN SMALL LETTER I + [CC82] COMBINING CIRCUMFLEX ACCENT
[95]   [C3AF] LATIN SMALL LETTER I WITH DIAERESIS            [69] LATIN SMALL LETTER I + [CC88] COMBINING DIAERESIS
[96]   [C3B1] LATIN SMALL LETTER N WITH TILDE                [6E] LATIN SMALL LETTER N + [CC83] COMBINING TILDE
[97]   [C3B3] LATIN SMALL LETTER O WITH ACUTE                [6F] LATIN SMALL LETTER O + [CC81] COMBINING ACUTE ACCENT
[98]   [C3B2] LATIN SMALL LETTER O WITH GRAVE                [6F] LATIN SMALL LETTER O + [CC80] COMBINING GRAVE ACCENT
[99]   [C3B4] LATIN SMALL LETTER O WITH CIRCUMFLEX           [6F] LATIN SMALL LETTER O + [CC82] COMBINING CIRCUMFLEX ACCENT
[9A]   [C3B6] LATIN SMALL LETTER O WITH DIAERESIS            [6F] LATIN SMALL LETTER O + [CC88] COMBINING DIAERESIS
[9B]   [C3B5] LATIN SMALL LETTER O WITH TILDE                [6F] LATIN SMALL LETTER O + [CC83] COMBINING TILDE
[9C]   [C3BA] LATIN SMALL LETTER U WITH ACUTE                [75] LATIN SMALL LETTER U + [CC81] COMBINING ACUTE ACCENT
[9D]   [C3B9] LATIN SMALL LETTER U WITH GRAVE                [75] LATIN SMALL LETTER U + [CC80] COMBINING GRAVE ACCENT
[9E]   [C3BB] LATIN SMALL LETTER U WITH CIRCUMFLEX           [75] LATIN SMALL LETTER U + [CC82] COMBINING CIRCUMFLEX ACCENT
[9F]   [C3BC] LATIN SMALL LETTER U WITH DIAERESIS            [75] LATIN SMALL LETTER U + [CC88] COMBINING DIAERESIS
[A0]   [E280A0] DAGGER                                       [E280A0] DAGGER
[A1]   [C2B0] DEGREE SIGN                                    [C2B0] DEGREE SIGN
[A2]   [C2A2] CENT SIGN                                      [C2A2] CENT SIGN
[A3]   [C2A3] POUND SIGN                                     [C2A3] POUND SIGN
[A4]   [C2A7] SECTION SIGN                                   [C2A7] SECTION SIGN
[A5]   [E280A2] BULLET                                       [E280A2] BULLET
